Species_Name,Trend,SE,N_Site
Upland_Sandpiper,0.76,0.39,582
Long-billed_Curlew,-0.77,1.01,222
Mountain_Plover,-1.05,2.24,37
Greater_Prairie-Chicken,-2.54,2.33,33
Sharp-tailed_Grouse,-0.92,1.43,128
Ring-necked_Pheasant,-1.06,0.32,1239
Northern_Harrier,-0.8,4,935
Ferruginous_Hawk,3.52,1.31,200
Common_Barn_Owl,-2,2.14,32
Short-eared_Owl,-6.23,4.55,140
Burrowing_Owl,1,2.74,278
Horned_Lark,-1.89,0.22,1864
Bobolink,-1.25,0.31,1168
Eastern_Meadlowlark,-2.69,0.17,1984
Western_Meadowlark,-0.75,0.17,1534
Chestnut-col_Longspur,-1.36,0.68,144
McCown's_Longspur,-9.29,8.27,59
Vesper_Sparrow,-0.61,0.24,1547
Savannah_Sparrow,-0.34,0.29,1582
Baird's_Sparrow,-2.04,1.48,120
Grasshopper_Sparrow,-3.73,0.47,1443
Henslow's_Sparrow,-4.82,2.5,149
LeConte's_Sparrow,0.91,0.95,190
Cassin's_Sparrow,-2.1,0.51,225
Dickcissel,-1.46,0.28,829
Lark_Bunting,-3.74,2.3,339
Sprague's_Pipit,-5.62,1.34,121
Sedge_Wren,3.18,0.73,340