Tm,W,L,W-L%,R,RA
BOS,108,54,0.667,5.4,4
HOU,103,59,0.636,4.9,3.3
NYY,100,62,0.617,5.3,4.1
OAK,97,65,0.599,5,4.2
MIL,96,67,0.589,4.6,4
CHC,95,68,0.583,4.7,4
LAD,92,71,0.564,4.9,3.7
CLE,91,71,0.562,5,4
COL,91,72,0.558,4.8,4.6
ATL,90,72,0.556,4.7,4.1
TBR,90,72,0.556,4.4,4
SEA,89,73,0.549,4.2,4.4
STL,88,74,0.543,4.7,4.3
PIT,82,79,0.509,4.3,4.3
WSN,82,80,0.506,4.8,4.2
ARI,82,80,0.506,4.3,4
PHI,80,82,0.494,4.2,4.5
LAA,80,82,0.494,4.5,4.5
MIN,78,84,0.481,4.6,4.8
NYM,77,85,0.475,4.2,4.4
SFG,73,89,0.451,3.7,4.3
TOR,73,89,0.451,4.4,5.1
CIN,67,95,0.414,4.3,5.1
TEX,67,95,0.414,4.5,5.2
SDP,66,96,0.407,3.8,4.7
DET,64,98,0.395,3.9,4.9
MIA,63,98,0.391,3.7,5
CHW,62,100,0.383,4,5.2
KCR,58,104,0.358,3.9,5.1
BAL,47,115,0.29,3.8,5.5